file,type,refs_code,refs_pkg,refs_ci,refs_scr,execbit,syntx_ok,last_edit,decision,reason
fix-piliers-links-nice.mjs,mjs,0,0,0,0,oui,ok,2025-10-31,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
validate-consistency.sh,sh,0,0,0,0,oui,ok,2025-10-29,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
seo-qa.js,js,0,0,0,0,non,ok,2025-10-30,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
setup-search-console.sh,sh,0,0,0,0,non,ok,2025-10-09,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
fix-404-all-cities.sh,sh,0,0,0,0,non,ok,2025-10-29,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
sync-components.sh,sh,0,0,0,10,oui,ok,2025-10-29,KEEP,"Refs > 0 ou syntaxe ok"
check-nextconfig.sh,sh,0,0,0,0,oui,ok,2025-10-11,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
analyze-satellites-seo.js,js,0,0,0,0,non,ok,2025-10-29,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
generate_icons.py,py,0,0,0,0,non,ok,2025-10-27,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
harmonize-categories-nice.mjs,mjs,0,0,0,0,oui,ok,2025-10-31,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
sync-and-deploy-all.sh,sh,0,0,0,0,oui,ok,2025-10-29,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
dev-local.sh,sh,0,0,0,0,non,ok,2025-10-27,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
generate-prix-titles.ts,ts,0,0,0,0,non,skip,2025-10-31,KEEP,"Refs > 0 ou syntaxe ok"
sync-seo-files.sh,sh,0,0,0,0,oui,ok,2025-10-29,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
fix-toulouse-links-v2.sh,sh,0,0,0,0,oui,ok,2025-10-31,DELETE,"Aucune ref + pattern suspect (v2)"
phase1-fix-ville-prefixes.sh,sh,0,0,0,7,oui,ok,2025-10-29,KEEP,"Refs > 0 ou syntaxe ok"
deploy/redeploy-all-sites.sh,sh,0,0,0,1,oui,ok,2025-10-11,KEEP,"Refs > 0 ou syntaxe ok"
deploy/webhook-intelligent.sh,sh,0,0,0,0,oui,ok,2025-10-11,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
deploy/deploy-all-sites.sh,sh,0,0,0,2,oui,ok,2025-10-11,KEEP,"Refs > 0 ou syntaxe ok"
deploy/verify-caprover-config.js,js,0,0,0,0,oui,ok,2025-10-11,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
deploy/webhook-detection.sh,sh,0,0,0,0,oui,ok,2025-10-11,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
fix-internal-links-marseille.sh,sh,0,0,0,0,oui,ok,2025-10-31,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
add-empty-categories-redirects.sh,sh,0,0,0,0,non,ok,2025-10-30,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
analyze-404-nice-detail.mjs,mjs,0,0,0,0,oui,ok,2025-10-31,ARCHIVE,"Aucune ref mais syntaxe ok (doute)"
phase1-fix-blog-ts.sh,sh,0,0,0,1,oui,ok,2025-10-29,KEEP,"Refs > 0 ou syntaxe ok"
extract-prix-data.ts,ts,0,0,0,0,oui,skip,2025-10-31,KEEP,"Refs > 0 ou syntaxe ok"
fix-404-nice-final.mjs,mjs,0,0,0,0,oui,ok,2025-10-31,DELETE,"Aucune ref + pattern suspect (final)"
push-to-all-site-repos.sh,sh,0,0,0,1,oui,ok,2025-10-27,KEEP,"Refs > 0 ou syntaxe ok"
